"year","variable","units","scenario","source","version","value"
2005,"C2F6_emissions","Gg","Reference","GCAM","new",1.3326894438
2010,"C2F6_emissions","Gg","Reference","GCAM","new",1.1421159114
2015,"C2F6_emissions","Gg","Reference","GCAM","new",1.4890217964
2021,"C2F6_emissions","Gg","Reference","GCAM","new",1.5013436056
2025,"C2F6_emissions","Gg","Reference","GCAM","new",1.5976911364
2030,"C2F6_emissions","Gg","Reference","GCAM","new",1.7110847161
2035,"C2F6_emissions","Gg","Reference","GCAM","new",1.8055048783
2040,"C2F6_emissions","Gg","Reference","GCAM","new",1.8649060139
2045,"C2F6_emissions","Gg","Reference","GCAM","new",1.9126586794
2050,"C2F6_emissions","Gg","Reference","GCAM","new",1.9545438934
2055,"C2F6_emissions","Gg","Reference","GCAM","new",1.9778886989
2060,"C2F6_emissions","Gg","Reference","GCAM","new",1.9951271028
2065,"C2F6_emissions","Gg","Reference","GCAM","new",2.0058769572
2070,"C2F6_emissions","Gg","Reference","GCAM","new",2.009164214
2075,"C2F6_emissions","Gg","Reference","GCAM","new",2.0065138161
2080,"C2F6_emissions","Gg","Reference","GCAM","new",1.997070065
2085,"C2F6_emissions","Gg","Reference","GCAM","new",1.9801365993
2090,"C2F6_emissions","Gg","Reference","GCAM","new",1.961983645
2095,"C2F6_emissions","Gg","Reference","GCAM","new",1.9418005199
2100,"C2F6_emissions","Gg","Reference","GCAM","new",1.9171898312
2005,"CF4_emissions","Gg","Reference","GCAM","new",4.5595095224
2010,"CF4_emissions","Gg","Reference","GCAM","new",3.4908554511
2015,"CF4_emissions","Gg","Reference","GCAM","new",4.5419844727
2021,"CF4_emissions","Gg","Reference","GCAM","new",4.66616681119
2025,"CF4_emissions","Gg","Reference","GCAM","new",4.9696228403
2030,"CF4_emissions","Gg","Reference","GCAM","new",5.2936470097
2035,"CF4_emissions","Gg","Reference","GCAM","new",5.5472483656
2040,"CF4_emissions","Gg","Reference","GCAM","new",5.699475323
2045,"CF4_emissions","Gg","Reference","GCAM","new",5.82389206814
2050,"CF4_emissions","Gg","Reference","GCAM","new",5.97007777074
2055,"CF4_emissions","Gg","Reference","GCAM","new",6.07592567086
2060,"CF4_emissions","Gg","Reference","GCAM","new",6.16225125614
2065,"CF4_emissions","Gg","Reference","GCAM","new",6.22743139922
2070,"CF4_emissions","Gg","Reference","GCAM","new",6.26517659757
2075,"CF4_emissions","Gg","Reference","GCAM","new",6.28311738994
2080,"CF4_emissions","Gg","Reference","GCAM","new",6.2760060156
2085,"CF4_emissions","Gg","Reference","GCAM","new",6.24106580681
2090,"CF4_emissions","Gg","Reference","GCAM","new",6.2031078241
2095,"CF4_emissions","Gg","Reference","GCAM","new",6.15986434348
2100,"CF4_emissions","Gg","Reference","GCAM","new",6.10012067409
2005,"HFC125_emissions","Gg","Reference","GCAM","new",13.4736975439
2010,"HFC125_emissions","Gg","Reference","GCAM","new",25.754668812
2015,"HFC125_emissions","Gg","Reference","GCAM","new",39.522956612
2021,"HFC125_emissions","Gg","Reference","GCAM","new",76.34528554
2025,"HFC125_emissions","Gg","Reference","GCAM","new",99.005402589
2030,"HFC125_emissions","Gg","Reference","GCAM","new",130.34374577
2035,"HFC125_emissions","Gg","Reference","GCAM","new",147.825113304
2040,"HFC125_emissions","Gg","Reference","GCAM","new",163.684793182
2045,"HFC125_emissions","Gg","Reference","GCAM","new",180.789215419
2050,"HFC125_emissions","Gg","Reference","GCAM","new",199.14049441
2055,"HFC125_emissions","Gg","Reference","GCAM","new",217.37056504
2060,"HFC125_emissions","Gg","Reference","GCAM","new",236.88482492
2065,"HFC125_emissions","Gg","Reference","GCAM","new",257.0978063
2070,"HFC125_emissions","Gg","Reference","GCAM","new",277.16178246
2075,"HFC125_emissions","Gg","Reference","GCAM","new",296.93328251
2080,"HFC125_emissions","Gg","Reference","GCAM","new",315.88149475
2085,"HFC125_emissions","Gg","Reference","GCAM","new",333.56813974
2090,"HFC125_emissions","Gg","Reference","GCAM","new",350.34036484
2095,"HFC125_emissions","Gg","Reference","GCAM","new",365.88038354
2100,"HFC125_emissions","Gg","Reference","GCAM","new",379.31114684
2005,"HFC134a_emissions","Gg","Reference","GCAM","new",130.6109941672
2010,"HFC134a_emissions","Gg","Reference","GCAM","new",181.60389160285
2015,"HFC134a_emissions","Gg","Reference","GCAM","new",244.0811181717
2021,"HFC134a_emissions","Gg","Reference","GCAM","new",312.4545100584
2025,"HFC134a_emissions","Gg","Reference","GCAM","new",341.41861010245
2030,"HFC134a_emissions","Gg","Reference","GCAM","new",387.7298004325
2035,"HFC134a_emissions","Gg","Reference","GCAM","new",430.931251783
2040,"HFC134a_emissions","Gg","Reference","GCAM","new",472.5469000805
2045,"HFC134a_emissions","Gg","Reference","GCAM","new",520.110048229
2050,"HFC134a_emissions","Gg","Reference","GCAM","new",575.4023387575
2055,"HFC134a_emissions","Gg","Reference","GCAM","new",633.8075390645
2060,"HFC134a_emissions","Gg","Reference","GCAM","new",700.3186147465
2065,"HFC134a_emissions","Gg","Reference","GCAM","new",774.0278678475
2070,"HFC134a_emissions","Gg","Reference","GCAM","new",853.0330183635
2075,"HFC134a_emissions","Gg","Reference","GCAM","new",936.811125576
2080,"HFC134a_emissions","Gg","Reference","GCAM","new",1023.2844352805
2085,"HFC134a_emissions","Gg","Reference","GCAM","new",1110.262054227
2090,"HFC134a_emissions","Gg","Reference","GCAM","new",1198.046698004
2095,"HFC134a_emissions","Gg","Reference","GCAM","new",1284.5323118215
2100,"HFC134a_emissions","Gg","Reference","GCAM","new",1365.217356316
2005,"HFC143a_emissions","Gg","Reference","GCAM","new",16.657881676495
2010,"HFC143a_emissions","Gg","Reference","GCAM","new",28.150171402278
2015,"HFC143a_emissions","Gg","Reference","GCAM","new",43.238085254551
2021,"HFC143a_emissions","Gg","Reference","GCAM","new",83.173213309551
2025,"HFC143a_emissions","Gg","Reference","GCAM","new",107.624744026995
2030,"HFC143a_emissions","Gg","Reference","GCAM","new",141.554242472709
