"units","scenario","year","value","variable","source","version"
"PPM","GCAM",1976,334.97,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1977,336.335,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1978,337.769,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1979,339.249,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1980,340.738,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1981,342.148,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1982,343.482,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1983,344.741,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1984,345.996,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1985,347.319,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1986,348.696,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1987,350.124,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1988,351.598,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1989,353.139,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1990,354.699,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1991,356.182,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1992,357.664,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1993,358.931,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1994,360.133,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1995,361.45,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1996,362.886,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1997,364.404,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1998,366.294,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",1999,367.917,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2000,369.501,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2001,371.171,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2002,372.769,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2003,374.478,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2004,376.248,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2005,378.246,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2006,380.223,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2007,382.356,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2008,384.623,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2009,387.019,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2010,389.536,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2011,392.173,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2012,394.976,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2013,397.846,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2014,400.786,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2015,403.793,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2016,406.862,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2017,409.395,"CO2_concentration","gcam xmldb","G-Hv3.2"
"PPM","GCAM",2018,411.925,"CO2_concentration","gcam xmldb","G-Hv3.2"
