"version","value","year","variable","scenario","units"
"3.2.0",1.51115370532551,NA,"tcre",NA,NA
"3.2.0",1.76611998884898,NA,"tcr",NA,NA
"3.2.0",471.007531363571,"1971-2018","OHC","historical","ZJ"
"3.2.0",0.539827874850664,"2019","RF_CH4","historical","W/m2"
"3.2.0",3.36128611173663,"2019","wmghg RF","historical","W/m2"
"3.2.0",-0.783969819967296,"2019","non_ghg_ERF","historical","W/m2"
"3.2.0",-1.23968398258174,"2005-15","total aerosol RF","historical","W/m2"
"3.2.0",0.730189828064502,"1995-2014","hist. warming","historical","degC"
"3.2.0",0.729576901628739,"2021-2040","global_tas","ssp119","degC rel. 1995-2014"
"3.2.0",0.74430885521659,"2021-2040","global_tas","ssp126","degC rel. 1995-2014"
"3.2.0",0.749998692160914,"2021-2040","global_tas","ssp245","degC rel. 1995-2014"
"3.2.0",0.760788860912867,"2021-2040","global_tas","ssp370","degC rel. 1995-2014"
"3.2.0",0.725252913847649,"2021-2040","global_tas","ssp434","degC rel. 1995-2014"
"3.2.0",0.755741747893345,"2021-2040","global_tas","ssp460","degC rel. 1995-2014"
"3.2.0",0.876656825541635,"2021-2040","global_tas","ssp534-over","degC rel. 1995-2014"
"3.2.0",0.876649160612933,"2021-2040","global_tas","ssp585","degC rel. 1995-2014"
"3.2.0",0.894278764050227,"2041-2060","global_tas","ssp119","degC rel. 1995-2014"
"3.2.0",1.08023352809899,"2041-2060","global_tas","ssp126","degC rel. 1995-2014"
"3.2.0",1.2867515573977,"2041-2060","global_tas","ssp245","degC rel. 1995-2014"
"3.2.0",1.42659181381752,"2041-2060","global_tas","ssp370","degC rel. 1995-2014"
"3.2.0",1.10742709479536,"2041-2060","global_tas","ssp434","degC rel. 1995-2014"
"3.2.0",1.33528342039006,"2041-2060","global_tas","ssp460","degC rel. 1995-2014"
"3.2.0",1.62904594807655,"2041-2060","global_tas","ssp534-over","degC rel. 1995-2014"
"3.2.0",1.74096585203918,"2041-2060","global_tas","ssp585","degC rel. 1995-2014"
"3.2.0",0.716083323651218,"2081-2100","global_tas","ssp119","degC rel. 1995-2014"
"3.2.0",1.09942860824078,"2081-2100","global_tas","ssp126","degC rel. 1995-2014"
"3.2.0",1.98152234292413,"2081-2100","global_tas","ssp245","degC rel. 1995-2014"
"3.2.0",2.93712162179338,"2081-2100","global_tas","ssp370","degC rel. 1995-2014"
"3.2.0",1.36908981878332,"2081-2100","global_tas","ssp434","degC rel. 1995-2014"
"3.2.0",2.30332057049772,"2081-2100","global_tas","ssp460","degC rel. 1995-2014"
"3.2.0",1.68716157752564,"2081-2100","global_tas","ssp534-over","degC rel. 1995-2014"
"3.2.0",3.79116347338892,"2081-2100","global_tas","ssp585","degC rel. 1995-2014"
