"version","scenario","variable","units","value","year","source"
"V3.2.0","1pctCO2","global_tas","degC",0,1750,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1751,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1752,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1753,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1754,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1755,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1756,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1757,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1758,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1759,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1760,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1761,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1762,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1763,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1764,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1765,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1766,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1767,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1768,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1769,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1770,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1771,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1772,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1773,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1774,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1775,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1776,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1777,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1778,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1779,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1780,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1781,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1782,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1783,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1784,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1785,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1786,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1787,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1788,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1789,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1790,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1791,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1792,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1793,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1794,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1795,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1796,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1797,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1798,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1799,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0,1800,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.00469312454182147,1801,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.0133006783870737,1802,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.0246998348077964,1803,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.0382157839865726,1804,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.0534096363676505,1805,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.0699786293573359,1806,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.0877042770174516,1807,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.106423195487294,1808,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.126009609222251,1809,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.146364318753513,1810,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.167407456526307,1811,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.18907356987578,1812,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.211308188967667,1813,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.234065372605239,1814,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.257305915450163,1815,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.280996013183254,1816,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.305106251378778,1817,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.329610827533728,1818,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.354486943914303,1819,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.379714327518473,1820,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.405274846002576,1821,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.431152197020659,1822,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.457331654416915,1823,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.483799858948987,1824,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.510544644259165,1825,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.537554891019165,1826,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.564820403799078,1827,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.592331806420356,1828,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.620080452462477,1829,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.64805834828434,1830,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.67625808645199,1831,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.704672787875014,1832,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.733296051274747,1833,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.762121908859833,1834,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.791144787284988,1835,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.820359473128719,1836,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.8497610822544,1837,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.879345032523207,1838,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.909107019412208,1839,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.939042994160289,1840,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.969149144121828,1841,"hector"
"V3.2.0","1pctCO2","global_tas","degC",0.999421875055272,1842,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.0298577951132,1843,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.06045370033332,1844,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.0912065614574,1845,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.12211351192857,1846,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.15317183693687,1847,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.18437896340002,1848,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.21573245078019,1849,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.2472299826503,1850,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.27886935893339,1851,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.31064848874799,1852,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.34256538379994,1853,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.37461815226825,1854,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.40680499313799,1855,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.43912419093883,1856,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.47157411085189,1857,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.50415319415188,1858,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.53685995395464,1859,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.56969297124341,1860,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.60265089114976,1861,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.63573241946756,1862,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.66893631938031,1863,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.70226140838431,1864,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.73570655539133,1865,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.76927067799651,1866,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.80295273989798,1867,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.83675174845631,1868,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.87066675238265,1869,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.90469683954551,1870,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.93884113488706,1871,"hector"
"V3.2.0","1pctCO2","global_tas","degC",1.97309879844029,1872,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.00746902343956,1873,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.0419510345171,1874,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.07654408597914,1875,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.11124746015544,1876,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.14606046581673,1877,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.18098243665484,1878,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.21601272982075,1879,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.25115072451601,1880,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.28639582063365,1881,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.32174743744442,1882,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.35720501232498,1883,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.39276799952475,1884,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.42843586896805,1885,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.46420810508888,1886,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.50008420569545,1887,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.53606368086191,1888,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.57214605184494,1889,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.60833085002279,1890,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.64461761585481,1891,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.68100589785921,1892,"hector"
"V3.2.0","1pctCO2","global_tas","degC",2.71749525160739,1893,"hector"
